POST-HOC DISCOVERY ANALYSIS — NOT A VALIDATED FILTER

CORE
  target   pair direction  trades   days  gross_mean  net_0p5_mean  gross_r_mean  target_rate  stop_rate  eod_rate  daily_gross_mean  daily_net_0p5_mean
midpoint GBPUSD      long               3   923.0  923.0   -0.474438     -0.974438     -0.031728     0.216685   0.676056  0.107259         -0.474438           -0.974438
midpoint GBPUSD      long              4+  1951.0  808.0   -0.514355     -1.014355     -0.022968     0.130190   0.613019  0.256791         -1.241965           -2.449267
midpoint GBPUSD     short               1  1090.0 1090.0   -0.657222     -1.157222     -0.049284     0.274312   0.699083  0.026606         -0.657222           -1.157222
midpoint GBPUSD     short               2   990.0  990.0    2.068576      1.568576      0.192833     0.290909   0.632323  0.076768          2.068576            1.568576
midpoint GBPUSD     short               3   833.0  833.0   -1.587617     -2.087617     -0.075690     0.189676   0.681873  0.128451         -1.587617           -2.087617
midpoint GBPUSD     short              4+  1823.0  783.0    0.266031     -0.233969      0.018340     0.142622   0.569940  0.287438          0.619379           -0.544733
opposite EURUSD      long               1  1131.0 1131.0    0.613440      0.113440      0.123530     0.217507   0.749779  0.032714          0.613440            0.113440
opposite EURUSD      long               2  1041.0 1041.0    0.028986     -0.471014      0.020219     0.180596   0.731028  0.088377          0.028986           -0.471014
opposite EURUSD      long               3   885.0  885.0   -0.640384     -1.140384     -0.068118     0.129944   0.690395  0.179661         -0.640384           -1.140384
opposite EURUSD      long              4+  1706.0  728.0   -0.922685     -1.422685     -0.048570     0.077374   0.623681  0.298945         -2.162226           -3.333929
opposite EURUSD     short               1  1102.0 1102.0    0.667777      0.167777      0.121560     0.199637   0.748639  0.051724          0.667777            0.167777
opposite EURUSD     short               2  1003.0 1003.0    0.220578     -0.279422      0.060032     0.172483   0.714855  0.112662          0.220578           -0.279422
opposite EURUSD     short               3   831.0  831.0   -0.550745     -1.050745     -0.068870     0.123947   0.671480  0.204573         -0.550745           -1.050745
opposite EURUSD     short              4+  1584.0  701.0   -0.456128     -0.956128      0.007022     0.084596   0.594066  0.321338         -1.030680           -2.160495
opposite GBPUSD      long               1  1126.0 1126.0   -0.226053     -0.726053     -0.032721     0.187389   0.777975  0.034636         -0.226053           -0.726053
opposite GBPUSD      long               2  1055.0 1055.0   -0.403890     -0.903890     -0.007760     0.168720   0.737441  0.093839         -0.403890           -0.903890
opposite GBPUSD      long               3   914.0  914.0   -0.564983     -1.064983     -0.039273     0.146608   0.711160  0.142232         -0.564983           -1.064983
opposite GBPUSD      long              4+  1894.0  786.0   -0.378677     -0.878677     -0.018444     0.087117   0.635164  0.277719         -0.912487           -2.117322
opposite GBPUSD     short               1  1090.0 1090.0   -0.378366     -0.878366     -0.006642     0.186239   0.776147  0.037615         -0.378366           -0.878366
opposite GBPUSD     short               2   987.0  987.0    1.515568      1.015568      0.183649     0.192503   0.691996  0.115502          1.515568            1.015568
opposite GBPUSD     short               3   819.0  819.0   -1.177810     -1.677810     -0.047457     0.137973   0.710623  0.151404         -1.177810           -1.677810
opposite GBPUSD     short              4+  1786.0  770.0    0.389326     -0.110674      0.027804     0.095185   0.589026  0.315789          0.903035           -0.256706

BY RSI EXTREMITY QUINTILE
  target   pair direction rsi_extremity_q  trades  days  gross_mean  net_0p5_mean  gross_r_mean  target_rate  stop_rate  eod_rate  daily_gross_mean  daily_net_0p5_mean
midpoint EURUSD      long              Q1   991.0 761.0    1.273282      0.773282      0.087580     0.254289   0.596367  0.149344          1.658111            1.006994
midpoint EURUSD      long              Q2   968.0 734.0    0.648607      0.148607      0.074919     0.236570   0.612603  0.150826          0.855384            0.195984
midpoint EURUSD      long              Q3   964.0 740.0   -0.050157     -0.550157      0.050480     0.240664   0.623444  0.135892         -0.065340           -0.716691
midpoint EURUSD      long              Q4   953.0 705.0   -1.249823     -1.749823     -0.069355     0.196222   0.663169  0.140609         -1.689477           -2.365363
midpoint EURUSD      long              Q5   937.0 517.0   -1.964308     -2.464308     -0.129875     0.143010   0.710779  0.146211         -3.560070           -4.466260
midpoint EURUSD     short              Q1   890.0 689.0    0.979553      0.479553      0.092420     0.251685   0.597753  0.150562          1.265316            0.619452
midpoint EURUSD     short              Q2   912.0 689.0   -0.508653     -1.008653     -0.005759     0.226974   0.626096  0.146930         -0.673283           -1.335112
midpoint EURUSD     short              Q3   916.0 704.0   -0.042905     -0.542905      0.041383     0.232533   0.629913  0.137555         -0.055826           -0.706394
midpoint EURUSD     short              Q4   927.0 683.0    0.177846     -0.322154      0.026260     0.213592   0.626753  0.159655          0.241382           -0.437242
midpoint EURUSD     short              Q5   944.0 555.0   -0.254573     -0.754573      0.048044     0.162076   0.638771  0.199153         -0.433003           -1.283454
midpoint GBPUSD      long              Q1   969.0 746.0    0.884769      0.384769      0.085477     0.263158   0.583075  0.153767          1.149251            0.499787
midpoint GBPUSD      long              Q2  1040.0 762.0    0.773973      0.273973      0.045159     0.242308   0.635577  0.122115          1.056341            0.373926
midpoint GBPUSD      long              Q3  1037.0 776.0   -0.089516     -0.589516     -0.002952     0.221794   0.643202  0.135005         -0.119623           -0.787793
midpoint GBPUSD      long              Q4   997.0 729.0   -0.982371     -1.482371     -0.034642     0.186560   0.682046  0.131394         -1.343517           -2.027331
midpoint GBPUSD      long              Q5  1018.0 585.0   -1.813504     -2.313504     -0.157348     0.135560   0.726916  0.137525         -3.155806           -4.025892
midpoint GBPUSD     short              Q1   991.0 774.0    0.313620     -0.186380      0.047884     0.246216   0.601413  0.152371          0.401548           -0.238633
midpoint GBPUSD     short              Q2   919.0 718.0    0.677907      0.177907      0.050839     0.238303   0.609358  0.152339          0.867683            0.227711
midpoint GBPUSD     short              Q3   922.0 701.0   -0.573838     -1.073838     -0.056971     0.201735   0.659436  0.138829         -0.754748           -1.412380
midpoint GBPUSD     short              Q4   962.0 690.0    0.397861     -0.102139      0.057697     0.204782   0.634096  0.161123          0.554699           -0.142403
midpoint GBPUSD     short              Q5   942.0 543.0   -0.311519     -0.811519      0.011059     0.168790   0.659236  0.171975         -0.540425           -1.407828
opposite EURUSD      long              Q1   978.0 758.0    1.473012      0.973012      0.104411     0.169734   0.646217  0.184049          1.900535            1.255416
opposite EURUSD      long              Q2   963.0 730.0    0.122369     -0.377631      0.069745     0.154725   0.677051  0.168224          0.161427           -0.498162
opposite EURUSD      long              Q3   954.0 727.0   -0.147648     -0.647648      0.026938     0.155136   0.686583  0.158281         -0.193750           -0.849871
opposite EURUSD      long              Q4   945.0 702.0   -0.904393     -1.404393     -0.054210     0.132275   0.702646  0.165079         -1.217452           -1.890528
opposite EURUSD      long              Q5   923.0 510.0   -2.144968     -2.644968     -0.136657     0.100758   0.737811  0.161430         -3.881971           -4.786873
opposite EURUSD     short              Q1   879.0 685.0    0.596001      0.096001      0.061663     0.153584   0.665529  0.180887          0.764796            0.123190
opposite EURUSD     short              Q2   893.0 686.0   -0.482461     -0.982461      0.026809     0.155655   0.675252  0.169093         -0.628044           -1.278919
opposite EURUSD     short              Q3   903.0 691.0   -0.492036     -0.992036     -0.019533     0.140642   0.695460  0.163898         -0.642994           -1.296394
opposite EURUSD     short              Q4   911.0 671.0    0.416242     -0.083758      0.032436     0.141603   0.667398  0.190999          0.565121           -0.113717
opposite EURUSD     short              Q5   934.0 553.0   -0.268715     -0.768715      0.062109     0.107066   0.660600  0.232334         -0.453851           -1.298336
opposite GBPUSD      long              Q1   949.0 734.0    0.897577      0.397577      0.085412     0.175975   0.650158  0.173867          1.160492            0.514034
opposite GBPUSD      long              Q2  1024.0 754.0   -0.172481     -0.672481     -0.033247     0.142578   0.701172  0.156250         -0.234245           -0.913290
opposite GBPUSD      long              Q3  1021.0 766.0    0.097835     -0.402165      0.026313     0.150833   0.687561  0.161606          0.130404           -0.536045
opposite GBPUSD      long              Q4   990.0 724.0   -1.283852     -1.783852     -0.052596     0.123232   0.723232  0.153535         -1.755543           -2.439245
opposite GBPUSD      long              Q5  1005.0 581.0   -1.411248     -1.911248     -0.136981     0.098507   0.750249  0.151244         -2.441144           -3.306032
opposite GBPUSD     short              Q1   986.0 773.0    0.547942      0.047942      0.055429     0.167343   0.652130  0.180527          0.698928            0.061153
opposite GBPUSD     short              Q2   910.0 713.0    0.514100      0.014100      0.040562     0.147253   0.668132  0.184615          0.656145            0.017996
opposite GBPUSD     short              Q3   913.0 699.0   -0.450561     -0.950561     -0.022982     0.143483   0.699890  0.156627         -0.588501           -1.241577
opposite GBPUSD     short              Q4   944.0 677.0    0.291891     -0.208109      0.078337     0.144068   0.676907  0.179025          0.407009           -0.290184
opposite GBPUSD     short              Q5   929.0 537.0   -0.062572     -0.562572      0.043361     0.118407   0.682454  0.199139         -0.108248           -0.973239

BY ASIAN RANGE QUINTILE
  target   pair direction asian_range_pips_q  trades  days  gross_mean  net_0p5_mean  gross_r_mean  target_rate  stop_rate  eod_rate  daily_gross_mean  daily_net_0p5_mean
midpoint EURUSD      long                 Q1  1003.0 320.0   -0.662446     -1.162446     -0.043373     0.228315   0.642074  0.129611         -2.076353           -3.643540
midpoint EURUSD      long                 Q2   977.0 317.0   -0.562264     -1.062264     -0.021460     0.216991   0.644831  0.138178         -1.732907           -3.273917
midpoint EURUSD      long                 Q3   971.0 312.0    0.502284      0.002284      0.063930     0.243048   0.624099  0.132853          1.563198            0.007108
midpoint EURUSD      long                 Q4   950.0 326.0    0.506290      0.006290      0.039940     0.218947   0.630526  0.150526          1.475386            0.018331
midpoint EURUSD      long                 Q5   912.0 314.0   -1.036452     -1.536452     -0.016844     0.163377   0.662281  0.174342         -3.010332           -4.462561
midpoint EURUSD     short                 Q1   878.0 293.0    0.178899     -0.321101      0.044552     0.246014   0.619590  0.134396          0.536085           -0.962209
midpoint EURUSD     short                 Q2   903.0 298.0   -0.505849     -1.005849     -0.008353     0.220377   0.640089  0.139535         -1.532825           -3.047926
midpoint EURUSD     short                 Q3   909.0 312.0    1.923954      1.423954      0.171820     0.261826   0.588559  0.149615          5.605367            4.148637
midpoint EURUSD     short                 Q4   930.0 319.0   -0.593980     -1.093980      0.029949     0.206452   0.632258  0.161290         -1.731667           -3.189347
midpoint EURUSD     short                 Q5   969.0 341.0   -0.622918     -1.122918     -0.031999     0.154799   0.638803  0.206398         -1.770111           -3.190932
midpoint GBPUSD      long                 Q1  1043.0 312.0   -0.506452     -1.006452     -0.023111     0.223394   0.641419  0.135187         -1.693044           -3.364518
midpoint GBPUSD      long                 Q2   970.0 314.0   -0.174133     -0.674133     -0.034841     0.221649   0.649485  0.128866         -0.537926           -2.082512
midpoint GBPUSD      long                 Q3  1042.0 320.0   -0.186673     -0.686673      0.009378     0.226488   0.651631  0.121881         -0.607854           -2.235979
